2048	3	0   0
1562	118	998	364
1563	998	364	659
1564	266	997	998
1565	118	996	998
1566	182	996	997
1567	996	997	998
1568	16	489	347
1569	110	999	347
1570	181	999	489
1571	999	489	347
1572	75	490	662
1573	267	1000	662
1574	181	1000	490
1575	1000	490	662
1576	39	348	661
1577	267	1001	661
1578	110	1001	348
1579	1001	348	661
1580	267	1000	1001
1581	110	999	1001
1582	181	999	1000
1583	999	1000	1001
1584	75	662	660
1585	266	1002	660
1586	267	1002	662
1587	1002	662	660
1588	39	661	657
1589	265	1003	657
1590	267	1003	661
1591	1003	661	657
1592	43	659	658
1593	265	1004	658
1594	266	1004	659
1595	1004	659	658
1596	265	1003	1004
1597	266	1002	1004
1598	267	1002	1003
1599	1002	1003	1004
1600	7	349	409
1601	141	1005	409
1602	111	1005	349
1603	1005	349	409
1604	40	350	663
1605	268	1006	663
1606	111	1006	350
1607	1006	350	663
1608	55	410	664
1609	268	1007	664
1610	141	1007	410
1611	1007	410	664
1612	268	1006	1007
1613	141	1005	1007
1614	111	1005	1006
1615	1005	1006	1007
1616	24	495	411
1617	142	1008	411
1618	184	1008	495
1619	1008	495	411
1620	76	496	666
1621	269	1009	666
1622	184	1009	496
1623	1009	496	666
1624	55	412	665
1625	269	1010	665
1626	142	1010	412
1627	1010	412	665
1628	269	1009	1010
1629	142	1008	1010
1630	184	1008	1009
1631	1008	1009	1010
1632	16	493	351
1633	112	1011	351
1634	183	1011	493
1635	1011	493	351
1636	76	494	668
1637	270	1012	668
1638	183	1012	494
1639	1012	494	668
1640	40	352	667
1641	270	1013	667
1642	112	1013	352
1643	1013	352	667
1644	270	1012	1013
1645	112	1011	1013
1646	183	1011	1012
1647	1011	1012	1013
1648	76	668	666
1649	269	1014	666
1650	270	1014	668
